600

651, 0, 152
651, 152, 0
817, 0, 4
817, 4, 0
397, 0, 251
397, 251, 0
783, 1, 518
783, 518, 1
260, 1, 47
260, 47, 1
106, 1, 508
106, 508, 1
911, 1, 415
911, 415, 1
689, 2, 144
689, 144, 2
754, 3, 383
754, 383, 3
351, 5, 216
351, 216, 5
936, 6, 161
936, 161, 6
649, 6, 597
649, 597, 6
400, 6, 490
400, 490, 6
633, 7, 102
633, 102, 7
269, 7, 93
269, 93, 7
317, 7, 245
317, 245, 7
607, 7, 409
607, 409, 7
377, 8, 473
377, 473, 8
791, 9, 557
791, 557, 9
667, 9, 470
667, 470, 9
896, 9, 30
896, 30, 9
37, 10, 29
37, 29, 10
510, 10, 469
510, 469, 10
511, 10, 18
511, 18, 10
972, 10, 553
972, 553, 10
213, 11, 40
213, 40, 11
978, 11, 287
978, 287, 11
551, 13, 531
551, 531, 13
988, 13, 79
988, 79, 13
329, 13, 222
329, 222, 13
92, 13, 226
92, 226, 13
331, 13, 340
331, 340, 13
429, 14, 149
429, 149, 14
587, 14, 462
587, 462, 14
931, 15, 593
931, 593, 15
914, 16, 396
914, 396, 16
888, 18, 64
888, 64, 18
575, 18, 307
575, 307, 18
373, 18, 149
373, 149, 18
848, 18, 228
848, 228, 18
701, 18, 474
701, 474, 18
527, 19, 61
527, 61, 19
769, 19, 147
769, 147, 19
826, 20, 263
826, 263, 20
244, 20, 433
244, 433, 20
317, 20, 213
317, 213, 20
938, 20, 12
938, 12, 20
747, 21, 479
747, 479, 21
384, 21, 488
384, 488, 21
742, 21, 559
742, 559, 21
960, 21, 9
960, 9, 21
272, 21, 109
272, 109, 21
4, 22, 584
4, 584, 22
579, 22, 356
579, 356, 22
885, 22, 79
885, 79, 22
550, 23, 74
550, 74, 23
305, 23, 518
305, 518, 23
424, 23, 320
424, 320, 23
202, 25, 569
202, 569, 25
526, 25, 504
526, 504, 25
528, 26, 243
528, 243, 26
307, 26, 313
307, 313, 26
433, 26, 496
433, 496, 26
163, 26, 117
163, 117, 26
221, 26, 542
221, 542, 26
566, 28, 4
566, 4, 28
414, 28, 274
414, 274, 28
999, 28, 21
999, 21, 28
69, 28, 494
69, 494, 28
836, 30, 297
836, 297, 30
225, 30, 288
225, 288, 30
125, 30, 487
125, 487, 30
148, 30, 434
148, 434, 30
444, 31, 320
444, 320, 31
272, 31, 324
272, 324, 31
327, 31, 24
327, 24, 31
482, 31, 26
482, 26, 31
833, 31, 35
833, 35, 31
650, 32, 57
650, 57, 32
997, 32, 553
997, 553, 32
434, 35, 584
434, 584, 35
286, 35, 272
286, 272, 35
79, 35, 276
79, 276, 35
277, 35, 36
277, 36, 35
81, 35, 158
81, 158, 35
166, 36, 1
166, 1, 36
904, 36, 63
904, 63, 36
671, 36, 132
671, 132, 36
191, 36, 184
191, 184, 36
341, 36, 297
341, 297, 36
247, 37, 322
247, 322, 37
793, 37, 445
793, 445, 37
436, 37, 480
436, 480, 37
148, 38, 376
148, 376, 38
671, 38, 390
671, 390, 38
480, 38, 234
480, 234, 38
211, 38, 197
211, 197, 38
37, 38, 385
37, 385, 38
918, 39, 129
918, 129, 39
27, 39, 416
27, 416, 39
573, 39, 299
573, 299, 39
907, 39, 288
907, 288, 39
100, 40, 27
100, 27, 40
412, 41, 469
412, 469, 41
140, 41, 593
140, 593, 41
550, 41, 522
550, 522, 41
417, 42, 112
417, 112, 42
314, 42, 57
314, 57, 42
117, 44, 542
117, 542, 44
745, 44, 29
745, 29, 44
138, 44, 423
138, 423, 44
732, 44, 2
732, 2, 44
204, 45, 475
204, 475, 45
95, 45, 33
95, 33, 45
440, 45, 373
440, 373, 45
952, 46, 474
952, 474, 46
996, 46, 514
996, 514, 46
723, 46, 570
723, 570, 46
198, 47, 518
198, 518, 47
185, 47, 313
185, 313, 47
714, 48, 245
714, 245, 48
819, 48, 394
819, 394, 48
109, 50, 223
109, 223, 50
966, 50, 200
966, 200, 50
774, 52, 13
774, 13, 52
295, 52, 235
295, 235, 52
963, 52, 206
963, 206, 52
381, 52, 176
381, 176, 52
694, 53, 561
694, 561, 53
799, 55, 357
799, 357, 55
575, 55, 431
575, 431, 55
793, 56, 55
793, 55, 56
559, 56, 288
559, 288, 56
373, 57, 305
373, 305, 57
1, 57, 301
1, 301, 57
285, 57, 3
285, 3, 57
951, 58, 172
